"NGA","PolID","Time","Pop","Terr","Cap","Gov","Infra","Info","Money","uniq","Dupl","n"
"Crete","GrCrGeo",-800,3.92028243773611,4.53635083327762,3.77815125038364,0,0.666666666666667,0.230769230769231,0.666666666666667,"n","n",18
"Crete","GrCrArc",-700,3.76987853265324,2.22271647114758,3.60205999132796,0.727272727272727,0.636363636363636,0.461538461538462,0.666666666666667,"y","n",18
"Crete","GrCrArc",-600,3.76987853265324,2.22271647114758,3.60205999132796,0.727272727272727,0.636363636363636,0.461538461538462,0.666666666666667,"n","n",18
"Crete","GrCrCls",-500,4.24303804868629,2.35218251811136,3.60205999132796,0.727272727272727,0.545454545454545,0.846153846153846,0.833333333333333,"y","n",18
"Crete","GrCrCls",-400,4.24303804868629,2.35218251811136,3.60205999132796,0.727272727272727,0.545454545454545,0.846153846153846,0.833333333333333,"n","n",18
"Crete","GrCrHel",-300,4.24303804868629,2.35218251811136,4.38021124171161,0.727272727272727,0.583333333333333,0.915384615384615,0.833333333333333,"y","n",18
"Crete","GrCrHel",-200,4.24303804868629,2.35218251811136,4.38021124171161,0.727272727272727,0.583333333333333,0.915384615384615,0.833333333333333,"n","n",18
"Crete","GrCrHel",-100,4.24303804868629,2.35218251811136,4.38021124171161,0.727272727272727,0.583333333333333,0.915384615384615,0.833333333333333,"n","n",18
"Crete","ItRomPr",0,6.72160643255304,6.11674346652638,4.77246190370413,0.645454545454546,0.991666666666667,0.923076923076923,0.833333333333333,"y","y",18
"Crete","ItRomPr",100,6.72160643255304,6.11674346652638,4.77246190370413,0.645454545454546,0.991666666666667,0.923076923076923,0.833333333333333,"n","y",18
"Crete","ItRomPr",200,6.72160643255304,6.11674346652638,4.77246190370413,0.645454545454546,0.991666666666667,0.923076923076923,0.833333333333333,"n","y",18
"Crete","TrRomDm",300,7.73595092053545,6.62838893005031,5.90308998699194,0.827272727272727,0.991666666666667,0.915384615384615,0.833333333333333,"y","y",18
"Crete","TrERom*",400,6.85410106071813,7.65877870324211,5.44576346950335,0.909090909090909,0.916666666666667,0.992307692307692,0.833333333333333,"y","y",18
"Crete","TrERom*",500,6.85410106071813,7.65877870324211,5.44576346950335,0.909090909090909,0.916666666666667,0.992307692307692,0.833333333333333,"n","y",18
"Crete","TrERom*",600,6.85410106071813,7.65877870324211,5.44576346950335,0.909090909090909,0.916666666666667,0.992307692307692,0.833333333333333,"n","y",18
"Crete","TrByzM1",700,7.6169472949285,7.38865813896599,5.71978018309678,0.909090909090909,0.9,0.923076923076923,0.833333333333333,"y","y",18
"Crete","TrByzM1",800,7.6169472949285,7.38865813896599,5.71978018309678,0.909090909090909,0.9,0.923076923076923,0.833333333333333,"n","y",18
"Crete","GrCrEmr",900,5.39794000867204,3.92095770595545,4.07918124604763,0.777777777777778,0.633333333333333,0.846153846153846,0.833333333333333,"y","n",18
"Crete","TrByzM2",1000,7.30354997667512,7.449286254077,5.42366783767073,0.909090909090909,0.916666666666667,0.923076923076923,0.833333333333333,"y","y",18
"Crete","TrByzM3",1100,6.74036268949424,5.75966784468963,5.39794000867204,1,0.916666666666667,0.923076923076923,0.833333333333333,"y","n",18
"Crete","TrByzM3",1200,6.8228216453031,5.73239375982297,5.39794000867204,1,0.916666666666667,0.923076923076923,0.833333333333333,"y","n",18
"Crete","ItVenR3",1300,6.35218251811136,6.05297256136698,5.23044892137827,0.881818181818182,0.98,0.838461538461538,0.833333333333333,"y","n",18
"Crete","ItVenR3",1400,6.35218251811136,6.05297256136698,5.23044892137827,0.881818181818182,0.98,0.838461538461538,0.833333333333333,"n","n",18
"Crete","ItVenR3",1500,6.35218251811136,6.05297256136698,5.23044892137827,0.881818181818182,0.98,0.838461538461538,0.833333333333333,"n","n",18
"Crete","ItVenR4",1600,6.35218251811136,5.23844573741366,5.23044892137827,0.872727272727273,0.975,0.838461538461538,0.833333333333333,"y","n",18
"Crete","TrOttm4",1700,7.38021124171161,6.75977492652456,5.06073656592922,1,0.916666666666667,0.946153846153846,0.833333333333333,"y","y",18
"Crete","TrOttm4",1800,7.38021124171161,6.75977492652456,5.06073656592922,1,0.916666666666667,0.946153846153846,0.833333333333333,"n","y",18
"Upper Egypt","EgBadar",-4400,2.83651143412582,3.77306804317493,1.79588001734408,0.1,0.26,0.169230769230769,0.15,"y","n",18
"Upper Egypt","EgBadar",-4300,2.83651143412582,3.77306804317493,1.79588001734408,0.1,0.26,0.169230769230769,0.15,"n","n",18
"Upper Egypt","EgBadar",-4200,2.83651143412582,3.77306804317493,1.79588001734408,0.1,0.26,0.169230769230769,0.15,"n","n",18
