Region,ArchaeoGlobe_Label,AG.area,Continent,MinExt,MidExt,MaxExt,MinInt,MidInt,MaxInt,SplitUrb,Urb,Agri,FirstYear10
131,Java and Timor,265313,Afroeurasia,-6000,-2000,0,-2000,-2000,1000,0,0,-2000,1000
132,Borneo,741691,Afroeurasia,-4000,-1000,0,-1000,0,1750,0,0,-1000,1000
133,Philippines,295191,Afroeurasia,-2000,-1000,1500,-1000,1500,9999,1750,1750,-1000,9999
134,Indonesia,218576,Afroeurasia,-4000,-1000,0,0,1000,1500,1000,1000,-1000,9999
135,Papua New Guinea,878832,Oceania,-6000,-2000,1750,-4000,-1000,9999,9999,9999,-4000,9999
136,Western Australia,2538780,Australia,1750,9999,9999,1850,9999,9999,1850,9999,1850,9999
137,Northern Territory Australia,1355500,Australia,9999,9999,9999,1850,9999,9999,9999,9999,1850,9999
138,South Australia,987149,Australia,1850,1850,9999,1850,1850,9999,1850,1850,1850,9999
139,Queensland,1738330,Australia,1850,9999,9999,1850,1850,9999,1850,1850,1850,9999
140,New South Wales,806735,Australia,1850,1850,9999,1850,1850,9999,1850,1850,1850,9999
141,Victoria and Tasmania,296562,Australia,1850,1850,9999,1850,1850,1850,1850,1850,1850,9999
142,Melanesia,76932.6,Oceania,-2000,-1000,0,-1000,0,1850,1750,1850,-1000,9999
143,New Zealand,267193,Oceania,1500,1500,9999,1500,1500,9999,1850,1850,1500,9999
144,Micronesia,2577.49,Oceania,-1000,0,1750,0,1500,9999,9999,9999,0,9999
145,Polynesia,9902.43,Oceania,-1000,-1000,9999,-1000,1000,1500,1850,1850,-1000,9999
146,Hawaii,16940.3,Oceania,1000,1000,1500,1000,1000,1500,1850,1850,1000,9999
