"NGA","PolID","Time","Class","uniq","Dupl","n"
"Crete","GrCrNeo",-5700,2,"n","n",1
"Crete","GrCrNeo",-5600,2,"n","n",1
"Crete","GrCrNeo",-5500,2,"n","n",1
"Crete","GrCrNeo",-5400,2,"n","n",1
"Crete","GrCrNeo",-5300,2,"n","n",1
"Crete","GrCrNeo",-5200,2,"y","n",1
"Crete","GrCrNeo",-5100,2,"n","n",1
"Crete","GrCrNeo",-5000,2,"n","n",1
"Crete","GrCrNeo",-4900,2,"n","n",1
"Crete","GrCrNeo",-4800,2,"y","n",1
"Crete","GrCrNeo",-4700,2,"n","n",1
"Crete","GrCrNeo",-4600,2,"n","n",1
"Crete","GrCrNeo",-4500,2,"n","n",1
"Crete","GrCrNeo",-4400,2,"n","n",1
"Crete","GrCrNeo",-4300,2,"n","n",1
"Crete","GrCrNeo",-4200,2,"n","n",1
"Crete","GrCrNeo",-4100,2,"n","n",1
"Crete","GrCrNeo",-4000,2,"n","n",1
"Crete","GrCrNeo",-3900,2,"n","n",1
"Crete","GrCrNeo",-3800,2,"n","n",1
"Crete","GrCrNeo",-3700,2,"n","n",1
"Crete","GrCrNeo",-3600,2,"n","n",1
"Crete","GrCrNeo",-3500,2,"n","n",1
"Crete","GrCrNeo",-3400,2,"n","n",1
"Crete","GrCrNeo",-3300,2,"n","n",1
"Crete","GrCrNeo",-3200,2,"n","n",1
"Crete","GrCrNeo",-3100,2.5,"n","n",1
"Crete","GrCrPre",-3000,2.5,"y","n",1
"Crete","GrCrPre",-2900,2.5,"n","n",1
"Crete","GrCrPre",-2800,2.5,"n","n",1
"Crete","GrCrPre",-2700,2.5,"n","n",1
"Crete","GrCrPre",-2600,2.5,"n","n",1
"Crete","GrCrPre",-2500,3,"n","n",1
"Crete","GrCrPre",-2400,3,"y","n",1
"Crete","GrCrPre",-2300,3,"n","n",1
"Crete","GrCrPre",-2200,3,"n","n",1
"Crete","GrCrPre",-2100,3,"y","n",1
"Crete","GrCrPre",-2000,3,"n","n",1
"Crete","GrCrOPa",-1900,3,"y","n",1
"Crete","GrCrOPa",-1800,3,"n","n",1
"Crete","GrCrNPa",-1700,3,"y","n",1
"Crete","GrCrNPa",-1600,3,"n","n",1
"Crete","GrCrNPa",-1500,3,"n","n",1
"Crete","GrCrMPa",-1400,3,"y","n",1
"Crete","GrCrPPa",-1300,3,"y","n",1
"Crete","GrCrFPa",-1200,3,"y","n",1
"Crete","GrCrFPa",-1100,3,"n","n",1
"Crete","GrCrGeo",-1000,3,"y","n",1
"Crete","GrCrGeo",-900,3,"n","n",1
"Crete","GrCrGeo",-800,3,"n","n",1
"Crete","GrCrArc",-700,3,"y","n",1
"Crete","GrCrArc",-600,3,"n","n",1
"Crete","GrCrCls",-500,3,"y","n",1
"Crete","GrCrCls",-400,3,"n","n",1
"Crete","GrCrHel",-300,3,"y","n",1
"Crete","GrCrHel",-200,3,"n","n",1
"Crete","GrCrHel",-100,3,"n","n",1
"Crete","ItRomPr",0,3,"y","y",1
"Crete","ItRomPr",100,3,"n","y",1
"Crete","ItRomPr",200,3,"n","y",1
"Crete","TrRomDm",300,3,"y","y",1
"Crete","TrERom*",400,3,"y","y",1
"Crete","TrERom*",500,3,"n","y",1
"Crete","TrERom*",600,3,"n","y",1
"Crete","TrByzM1",700,3,"y","y",1
"Crete","TrByzM1",800,3,"n","y",1
"Crete","GrCrEmr",900,3,"y","n",1
"Crete","TrByzM2",1000,3,"y","y",1
"Crete","TrByzM3",1100,3,"y","n",1
"Crete","TrByzM3",1200,3,"y","n",1
"Crete","ItVenR3",1300,3,"y","n",1
"Crete","ItVenR3",1400,3,"n","n",1
"Crete","ItVenR3",1500,3,"n","n",1
"Crete","ItVenR4",1600,3,"y","n",1
"Crete","TrOttm4",1700,3,"y","y",1
"Crete","TrOttm4",1800,3,"n","y",1
"Upper Egypt","EgBadar",-4400,2,"y","n",1
"Upper Egypt","EgBadar",-4300,2,"n","n",1
"Upper Egypt","EgBadar",-4200,2,"n","n",1
"Upper Egypt","EgBadar",-4100,2,"n","n",1
"Upper Egypt","EgBadar",-4000,2,"n","n",1
"Upper Egypt","EgBadar",-3900,2,"n","n",1
"Upper Egypt","EgNaqa1",-3800,2,"y","n",1
"Upper Egypt","EgNaqa1",-3700,2,"y","n",1
"Upper Egypt","EgNaqa1",-3600,2,"y","n",1
"Upper Egypt","EgNaqa2",-3500,2,"y","n",1
"Upper Egypt","EgNaqa2",-3400,2,"y","n",1
"Upper Egypt","EgNaqa3",-3300,2,"y","n",1
"Upper Egypt","EgNaqa3",-3200,2,"n","n",1
"Upper Egypt","EgDyn1*",-3100,2,"y","n",1
"Upper Egypt","EgDyn1*",-3000,3,"n","n",1
"Upper Egypt","EgDyn2*",-2900,3,"y","n",1
"Upper Egypt","EgDyn2*",-2800,3,"y","n",1
"Upper Egypt","EgDyn2*",-2700,3,"y","n",1
"Upper Egypt","EgOldK1",-2600,3,"y","n",1
"Upper Egypt","EgOldK1",-2500,3,"n","n",1
"Upper Egypt","EgOldK1",-2400,3,"n","n",1
"Upper Egypt","EgOldK2",-2300,3,"y","n",1
"Upper Egypt","EgOldK2",-2200,3,"n","n",1
"Upper Egypt","EgRegns",-2100,3,"y","n",1
"Upper Egypt","EgMidKg",-2000,3,"y","n",1
"Upper Egypt","EgMidKg",-1900,3,"y","n",1
"Upper Egypt","EgMidKg",-1800,3,"y","n",1
"Upper Egypt","EgThebH",-1700,3,"y","n",1
"Upper Egypt","EgThebH",-1600,3,"n","n",1
"Upper Egypt","EgNKThu",-1500,3,"y","n",1
"Upper Egypt","EgNKThu",-1400,3,"y","n",1
"Upper Egypt","EgNKThu",-1300,3,"y","n",1
"Upper Egypt","EgNKRam",-1200,3,"y","n",1
"Upper Egypt","EgNKRam",-1100,3,"y","n",1
"Upper Egypt","EgThebL",-1000,3,"y","n",1
"Upper Egypt","EgThebL",-900,3,"y","n",1
"Upper Egypt","EgThebL",-800,3,"n","n",1
"Upper Egypt","SdKusht",-700,3,"y","n",1
"Upper Egypt","EgSaite",-600,3,"y","n",1
"Upper Egypt","IrAchae",-500,3,"y","y",1
"Upper Egypt","EgIntOc",-400,3,"y","n",1
"Upper Egypt","EgPtol1",-300,3,"y","n",1
"Upper Egypt","EgPtol2",-200,3,"y","n",1
"Upper Egypt","EgPtol2",-100,3,"y","n",1
"Upper Egypt","ItRomPr",0,3,"y","y",1
"Upper Egypt","ItRomPr",100,3,"n","y",1
"Upper Egypt","ItRomPr",200,3,"n","y",1
"Upper Egypt","TrRomDm",300,3,"y","y",1
"Upper Egypt","TrERom*",400,3,"y","y",1
"Upper Egypt","TrERom*",500,3,"n","y",1
"Upper Egypt","TrERom*",600,3,"n","y",1
"Upper Egypt","SyCalUm",700,3,"y","y",1
"Upper Egypt","IqAbbs1",800,3,"y","y",1
"Upper Egypt","EgTulIk",900,3,"y","n",1
"Upper Egypt","TnFatim",1000,3,"y","n",1
"Upper Egypt","TnFatim",1100,3,"y","n",1
"Upper Egypt","EgAyyub",1200,3,"y","n",1
"Upper Egypt","EgMamBh",1300,3,"y","n",1
"Upper Egypt","EgMamCP",1400,3,"y","n",1
"Upper Egypt","EgMamBu",1500,3,"y","n",1
"Upper Egypt","TrOttm3",1600,3,"y","y",1
"Upper Egypt","TrOttm4",1700,3,"y","y",1
"Niger Inland Delta","MlJeJe1",-200,2,"y","n",1
"Niger Inland Delta","MlJeJe1",-100,2,"n","n",1
"Niger Inland Delta","MlJeJe1",0,2,"n","n",1
"Niger Inland Delta","MlJeJe2",100,2,"y","n",1
"Niger Inland Delta","MlJeJe2",200,2,"n","n",1
"Niger Inland Delta","MlJeJe2",300,2,"n","n",1
"Niger Inland Delta","MlJeJe3",400,2,"y","n",1
"Niger Inland Delta","MlJeJe3",500,2,"n","n",1
"Niger Inland Delta","MlJeJe3",600,2,"n","n",1
"Niger Inland Delta","MlJeJe3",700,2,"n","n",1
"Niger Inland Delta","MlJeJe3",800,3,"n","n",1
"Niger Inland Delta","MlJeJe4",900,3,"y","n",1
"Niger Inland Delta","MrWagdM",1000,3,"y","n",1
"Niger Inland Delta","MrWagdL",1100,3,"y","n",1
"Niger Inland Delta","MrWagdL",1200,3,"n","n",1
"Niger Inland Delta","MlMali*",1300,3,"y","n",1
"Niger Inland Delta","MlMali*",1400,3,"y","n",1
"Niger Inland Delta","MlSong2",1500,3,"y","n",1
"Niger Inland Delta","MaSaadi",1600,3,"y","n",1
"Niger Inland Delta","MlSegou",1700,2.77735247722336,"y","n",1
"Niger Inland Delta","MlBaman",1800,3,"y","n",1
"Ghanaian Coast","GhAshnE",1600,3,"y","n",1
"Ghanaian Coast","GhAshnE",1700,3,"y","n",1
"Ghanaian Coast","GhAshnL",1800,3,"y","n",1
"Southern Mesopotamia","IqSoNeo",-9000,1,"y","n",1
"Southern Mesopotamia","IqSoNeo",-8900,1,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8800,1,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8700,1,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8600,1,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8500,1.6,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8400,1.6,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8300,1.6,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8200,1.6,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8100,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8000,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7900,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7800,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7700,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7600,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7500,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7400,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7300,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7200,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7100,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7000,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-6900,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-6800,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-6700,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-6600,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-6500,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-6400,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-6300,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-6200,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-6100,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-6000,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-5900,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-5800,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-5700,2,"n","n",1
"Southern Mesopotamia","IqSoNeo",-5600,2,"n","n",1
"Southern Mesopotamia","IqUbaid",-5500,3,"y","n",1
"Southern Mesopotamia","IqUbaid",-5400,3,"n","n",1
"Southern Mesopotamia","IqUbaid",-5300,3,"n","n",1
"Southern Mesopotamia","IqUbaid",-5200,3,"n","n",1
"Southern Mesopotamia","IqUbaid",-5100,3,"n","n",1
"Southern Mesopotamia","IqUbaid",-5000,3,"n","n",1
"Southern Mesopotamia","IqUbaid",-4900,3,"n","n",1
"Southern Mesopotamia","IqUbaid",-4800,3,"n","n",1
"Southern Mesopotamia","IqUbaid",-4700,3,"n","n",1
"Southern Mesopotamia","IqUbaid",-4600,3,"n","n",1
"Southern Mesopotamia","IqUbaid",-4500,3,"n","n",1
"Southern Mesopotamia","IqUbaid",-4400,3,"n","n",1
"Southern Mesopotamia","IqUbaid",-4300,3,"n","n",1
"Southern Mesopotamia","IqUruk*",-4200,3,"y","n",1
"Southern Mesopotamia","IqUruk*",-4100,3,"n","n",1
"Southern Mesopotamia","IqUruk*",-4000,3,"n","n",1
"Southern Mesopotamia","IqUruk*",-3900,3,"n","n",1
"Southern Mesopotamia","IqUruk*",-3800,3,"n","n",1
"Southern Mesopotamia","IqUruk*",-3700,3,"n","n",1
"Southern Mesopotamia","IqUruk*",-3600,3,"n","n",1
"Southern Mesopotamia","IqUruk*",-3500,3,"y","n",1
"Southern Mesopotamia","IqUruk*",-3400,3,"n","n",1
"Southern Mesopotamia","IqUruk*",-3300,3,"n","n",1
"Southern Mesopotamia","IqUruk*",-3200,3,"n","n",1
"Southern Mesopotamia","IqUruk*",-3100,2.33297737946374,"n","n",1
"Southern Mesopotamia","IqUruk*",-3000,2.21377055554383,"n","n",1
"Southern Mesopotamia","IqEDyn*",-2900,3,"y","n",1
"Southern Mesopotamia","IqEDyn*",-2800,3,"n","n",1
"Southern Mesopotamia","IqEDyn*",-2700,3,"n","n",1
"Southern Mesopotamia","IqEDyn*",-2600,3,"n","n",1
"Southern Mesopotamia","IqEDyn*",-2500,3,"n","n",1
"Southern Mesopotamia","IqEDyn*",-2400,3,"n","n",1
"Southern Mesopotamia","IqAkkad",-2300,3,"y","n",1
"Southern Mesopotamia","IqAkkad",-2200,3,"y","n",1
"Southern Mesopotamia","IqUrIII",-2100,3,"y","n",1
"Southern Mesopotamia","IqIsinL",-2000,3,"y","n",1
